"code","name","country_id/id"
"15104","Boyacá","base.co"
"15106","Briceño","base.co"
"15109","Buenavista","base.co"
"15114","Busbanzá","base.co"
"15131","Caldas","base.co"
"15135","Campohermoso","base.co"
"15162","Cerinza","base.co"
"15172","Chinavita","base.co"
"15176","Chiquinquirá","base.co"
"15180","Chiscas","base.co"
"15183","Chita","base.co"
"15185","Chitaraque","base.co"
"15187","Chivatá","base.co"
"15189","Ciénega","base.co"
"15204","Cómbita","base.co"
"15212","Coper","base.co"
"15215","Corrales","base.co"
"15218","Covarachía","base.co"
"15223","Cubará","base.co"
"15224","Cucaita","base.co"
"15226","Cuítiva","base.co"
"15232","Chíquiza","base.co"
"15236","Chivor","base.co"
"15238","Duitama","base.co"
"15244","El Cocuy ","base.co"
"15248","El Espino ","base.co"
"15272","Firavitoba","base.co"
"15276","Floresta","base.co"
"15293","Gachantivá","base.co"
"15296","Gámeza","base.co"
"15299","Garagoa","base.co"
"15317","Guacamayas","base.co"
"15322","Guateque","base.co"
"15325","Guayatá","base.co"
"15332","Güicán De La Sierra","base.co"
"15362","Iza","base.co"
"15367","Jenesano","base.co"
"15368","Jericó","base.co"
"15377","Labranzagrande","base.co"
"15380","La Capilla ","base.co"
"15401","La Victoria ","base.co"
"15403","La Uvita ","base.co"
"15407","Villa De Leyva","base.co"
"15425","Macanal","base.co"
"15442","Maripí","base.co"
"15455","Miraflores","base.co"
"15464","Mongua","base.co"
"15466","Monguí","base.co"
"15469","Moniquirá","base.co"
"15476","Motavita","base.co"
"15480","Muzo","base.co"
"15491","Nobsa","base.co"
"15494","Nuevo Colón ","base.co"
"15500","Oicatá","base.co"
"15507","Otanche","base.co"
"15511","Pachavita","base.co"
"15514","Páez","base.co"
"15516","Paipa","base.co"
"15518","Pajarito","base.co"
"15522","Panqueba","base.co"
"15531","Pauna","base.co"
"15533","Paya","base.co"
"15537","Paz De Río","base.co"
"15542","Pesca","base.co"
"15550","Pisba","base.co"
"15572","Puerto Boyacá ","base.co"
"15580","Quípama","base.co"
"15599","Ramiriquí","base.co"
"15600","Ráquira","base.co"
"15621","Rondón","base.co"
"15632","Saboyá","base.co"
"15638","Sáchica","base.co"
"15646","Samacá","base.co"
"15660","San Eduardo ","base.co"
"15664","San José De Pare","base.co"
"15667","San Luis De Gaceno","base.co"
"15673","San Mateo ","base.co"
"15676","San Miguel De Sema","base.co"
"15681","San Pablo De Borbur","base.co"
"15686","Santana","base.co"
"15690","Santa María ","base.co"
"15693","Santa Rosa De Viterbo","base.co"
"15696","Santa Sofía ","base.co"
"15720","Sativanorte","base.co"
"15723","Sativasur","base.co"
"15740","Siachoque","base.co"
"15753","Soatá","base.co"
"15755","Socotá","base.co"
"15757","Socha","base.co"
"15759","Sogamoso","base.co"
"15761","Somondoco","base.co"
"15762","Sora","base.co"
"15763","Sotaquirá","base.co"
"15764","Soracá","base.co"
"15774","Susacón","base.co"
"15776","Sutamarchán","base.co"
"15778","Sutatenza","base.co"
"15790","Tasco","base.co"
"15798","Tenza","base.co"
"15804","Tibaná","base.co"
"15806","Tibasosa","base.co"
"15808","Tinjacá","base.co"
"15810","Tipacoque","base.co"
"15814","Toca","base.co"
"15816","Togüí","base.co"
"15820","Tópaga","base.co"
"15822","Tota","base.co"
"15832","Tununguá","base.co"
"15835","Turmequé","base.co"
"15837","Tuta","base.co"
"15839","Tutazá","base.co"
"15842","Úmbita","base.co"
"15861","Ventaquemada","base.co"
